IAV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2),SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_IAV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2),padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
TNFRSF11B,0,0.370237905,0.193000226,2.20289,-0.05323,-1.499241809,-0.727860853,1,1,1,4.61E-51,1,1,1
CXCL1,0.5685,0.418108736,2.556492718,1.42005,1.1986,2.613205721,2.280417366,0.41843568,0.060745815,3.09E-137,4.43E-68,4.49E-21,3.95E-154,3.54E-68
FOS,0.3819,0.281341583,1.471425528,1.18048,-0.01724,2.289210836,2.084924207,0.660100168,0.614888734,0.005761559,6.06E-14,1,1.17E-68,3.44E-76
SELE,0,0.322664609,-0.239784021,2.77545,2.0976,4.8546426,4.873403868,1,1,1,0,1,1.59E-25,3.33E-27
NGFR,0.25862,0.07980096,0.48389124,2.01928,0.84135,1.712307862,2.150088359,1,1,1,1.46E-08,0.04587488,4.60E-07,8.73E-11
PTGS2,0.34839,0.81065884,1.039629381,3.12538,0.95584,2.135220446,1.657335172,0.529356682,0.310369807,0.194672098,0,7.51E-14,9.73E-116,5.08E-40
LAMP3,0.07897,5.54441896,4.67731731,3.60746,1.68511,3.172822189,-0.793589185,1,1.48E-36,2.81E-26,1.73E-280,3.43E-07,3.97E-25,0.100518254
CD274,0.65388,4.062203569,4.594543746,4.9398,1.24643,4.010830214,1.614260137,1,3.62E-20,4.48E-31,2.21E-115,7.49E-06,1.20E-46,1.89E-08
NFKBIA,0.33539,1.391638498,1.819262684,4.02958,0.62274,5.232026404,5.181937822,0.403882306,0.000349026,1.23E-07,3.88E-276,1.29E-16,0,0
CSF3,0,0.748807643,3.56052537,4.69959,1.448,2.315882951,1.157016667,1,1,2.84E-12,7.12E-34,0.000237136,1,1
TNFSF13B,0.30596,4.230094512,3.41009236,2.63906,-0.01057,2.243847052,0.579201168,1,2.25E-15,4.23E-08,2.56E-14,1,1.70E-07,1
IL7R,-0.03441,1.962484024,4.041684478,1.09821,0.24607,-0.069653127,-0.090979123,1,1,7.97E-11,0,1,1,0.855973411
KMO,-0.09244,1.53930831,2.496406836,3.52531,0.59461,1.388322107,0.824886834,1,1,1,2.18E-15,0.155159031,0.000449675,0.076268784
KLF4,0.31569,2.024411476,2.449338602,2.66686,0.62204,2.477022158,2.14287308,0.65488222,5.10E-05,4.53E-08,2.41E-106,1.55E-05,5.24E-168,2.26E-122
CEACAM1,-0.06716,2.866002681,2.203933874,1.15919,-1.1845,1.147867483,-1.722483165,0.949577751,3.75E-12,2.04E-09,2.69E-30,2.44E-10,1,2.03E-18
CD38,0.50214,2.30468855,1.855745104,0.67086,0.10415,0.080837792,-2.113540815,0.328519861,1.81E-13,5.86E-11,0.061252319,0.545176515,1,1.14E-16
PNPT1,0.51153,2.35068195,1.833731041,2.37227,0.17595,2.263362469,0.095516634,0.236776048,1.50E-10,5.40E-08,9.71E-71,0.079601219,3.79E-137,0.359222606
BIRC3,0.82121,2.170884299,2.694502659,2.08509,1.87958,2.188986984,2.222311544,0.050584743,3.34E-17,1.83E-32,3.06E-33,1.37E-68,5.07E-171,5.30E-195
NKX3-1,-0.02286,1.396905198,2.571933882,2.15632,1.38748,2.894997006,1.704983815,0.981428543,1.33E-09,1.46E-30,2.16E-29,8.98E-23,5.59E-83,1.04E-30
EREG,1.07711,2.113976294,1.838205515,1.72409,2.92228,3.118787946,3.154633145,0.000294326,0.000686924,0.003429617,0,8.92E-110,5.26E-292,0
SOCS3,-0.12864,1.340396009,3.113944015,1.01444,1.56934,2.172308357,0.676978454,1,0.001483983,2.13E-39,3.36E-19,1.45E-46,2.60E-108,1.35E-08
ETS1,0.25889,1.156904501,2.159758123,1.76428,1.78719,1.981173182,1.932042653,0.649742677,0.083323579,9.37E-05,6.09E-65,1.71E-76,1.33E-40,2.81E-36
GFPT2,0.43402,1.287614695,2.937036659,1.95318,1.58136,0.435713137,-0.031605125,0.221974147,5.03E-21,3.80E-121,2.14E-05,8.77E-48,4.94E-08,0.789026252
IL15RA,-0.0991,1.944891483,2.173884785,2.00648,1.77384,2.162860843,-0.005383411,0.923560669,0.000138585,1.08E-05,3.57E-43,3.68E-12,1.26E-12,0.990102121
IL3RA,-0.2691,0.665190769,1.188811625,0.38459,2.3449,0.190258088,0.237970769,0.774578037,1,1,0,2.80E-08,0.552331278,0.461147795
HK2,0.13107,1.687178041,3.668137015,0.78456,1.89095,1.885836124,1.505999669,1,0.000296676,7.69E-28,3.01E-12,1,1,1
MMP1,0.33698,0.749656002,4.207062347,-0.12421,2.26845,0.180588483,-0.53642416,1,1,1.13E-14,0.296287627,7.43E-09,1,1
SOD2,0.25655,0.994749441,2.949115446,1.98347,1.9007,1.342027374,0.563450494,0.689009528,1.79E-05,2.76E-62,1.79E-99,4.43E-117,5.25E-72,6.68E-08
OSMR,0.13972,1.211272726,2.133394453,0.85903,1.37782,0.1057662,-0.95392786,0.75869978,0.044619304,1.56E-05,7.30E-17,5.38E-30,0.131514352,2.36E-48
SELPLG,1.37332,-0.095159549,2.36770437,-0.26986,-0.16314,1.613602303,1.447865204,1,1,1.80E-06,0,1,1.81E-05,0.000229371
IL21R,-0.21239,0.476002633,3.368495401,0.71648,0.57717,0.212703399,0.520607889,1,1,7.28E-08,0,0.198059678,1,1
MMP9,-0.13983,0.996614826,3.176016777,0.48244,1.78274,-0.642751118,-0.609413738,1,1,1.35E-07,0,1.53E-05,1,1
LCP1,-0.20762,0.611886761,3.33744428,-0.13974,1.09656,0.177885159,0.57347077,1,1,3.01E-10,0.209010417,0.005669452,0.764686749,0.188801689
CSF2,0,0.109861393,1.691172367,6.45824,3.25363,3.924877128,4.490421386,1,1,0.019084174,1.02E-136,6.39E-24,1,1
FLT3LG,-0.15257,0.578381878,0.730737834,2.20895,1.08183,2.501288806,0.475146195,1,0.448613477,0.362689797,3.33E-19,5.29E-07,4.93E-09,1
LIFR,0.40986,1.631032548,1.654633304,2.10385,0.92537,-0.037368592,-0.816139602,0.464786036,0.008133318,0.003466869,2.17E-20,2.77E-07,0.772403848,7.30E-08
IL10RA,-0.15793,1.017617373,2.530869975,2.49321,-0.36093,1.647283796,1.073132526,1,1,1,2.30E-09,1,1,1
SPRY2,0.18187,0.895322698,0.634143233,2.17948,-0.08336,1.66221374,1.790285884,0.80610639,0.229015248,0.419519762,2.66E-34,0.652812858,3.65E-20,1.47E-30
CTH,0.22481,0.053592592,0.908641751,2.44908,0.17512,-1.472149407,-0.734487695,0.806365709,0.908998086,0.010440705,5.24E-77,0.373546631,1,0.065067416
DUOX1,-0.35377,0,0.193000226,2.6554,0,0.494014167,0.593344148,1,1,1,2.72E-13,1,1,1
ANKRD1,1.1461,-0.437305566,-0.642112779,3.36255,1.50714,0.403158916,0.488422361,0.039249913,0.354939797,0.157279706,1.59E-68,1.15E-10,0.006129426,0.000430786
EDN2,-0.04748,-1.346867313,-1.742883822,3.25782,0.22512,0.458478038,1.007485319,1,1,1,1.90E-38,0.545847395,0.091617845,0.000238298
PCK1,0,-0.206145088,-1.499290707,3.41838,0.06315,2.689827302,2.237131478,1,1,1,0,1,3.51E-14,1.69E-11
SERPINB2,0,0,0.444314041,2.28935,0.39922,-0.147981698,0.796746455,1,1,1,4.28E-47,1,1,1
IRS2,-0.90411,-0.274716368,-0.644552673,2.19227,-0.38046,0.996144663,0.662621672,0.060136433,0.357227853,0.00558753,1.20E-38,0.009805489,2.75E-20,2.63E-07
SPOCK2,0.16763,-0.734486669,-0.497298527,-0.43444,-0.66013,2.358089461,2.329528211,0.867106483,0.346357442,1,0.000359673,0.031429169,7.58E-19,2.85E-16
TNFSF14,0.52759,0.920040952,2.89441278,2.25519,-0.48758,0.772364495,0.138729636,1,1,3.88E-09,1.05E-08,1,0.072915062,0.760851428
MAP3K8,-0.211,0.987987447,1.10666752,2.77137,-0.21808,1.517901238,1.314344162,0.755486983,0.131990935,0.06647797,5.98E-91,1,2.88E-64,1.42E-59
ZFP36,-0.58575,0.72421302,1.519963624,2.89768,0.12958,3.441510403,3.388269744,1,0.276186405,0.007751332,3.04E-109,1,5.98E-224,4.78E-157
NFIL3,0.52403,1.076967962,1.204196974,0.85033,1.09567,4.218156653,3.895724524,0.366627772,0.034397446,0.000411054,5.95E-12,3.25E-15,7.75E-267,0
JUNB,-0.46169,-0.400066293,0.088723001,1.37858,0.41838,3.520437228,3.311099111,0.481075264,0.367391036,0.786121927,1.59E-16,5.16E-09,1,1
LTB,0.27437,-1.461511974,-2.27056528,3.32494,1.19544,3.056642746,3.242068442,1,0.062208987,0.001329694,3.72E-41,3.43E-11,6.17E-19,3.81E-24
