log2FoldChange,padj
MANEAL,-1.3126075953,NaN
YRDC,-2.0809089884,0.0719234231
C1orf122,-0.0888069994,0.9606520797
MTF1,1.2087860301,0.2697720505
INPP5B,-2.928537275,0.0310048278
SF3A3,-1.6949292171,0.0645202639
FHL3,2.3375022315,0.0026782655
UTP11L,-0.381439466,0.752119653
POU3F1,-0.2457309495,NaN
MIR3659,NaN,NaN
LOC339442,NaN,NaN
RRAGC,-1.5174985216,0.1716537617
GJA9-MYCBP,-0.0777814876,NaN
MYCBP,-0.0127306013,NaN
GJA9,NaN,NaN
RHBDL2,-0.7611413412,NaN
AKIRIN1,-1.0645085402,0.3847916938
NDUFS5,-0.9738066785,0.2567228522
MACF1,-1.4205758057,0.1832525692
KIAA0754,-1.2919245618,NaN
BMP8A,-1.5218964257,NaN
PPIEL,-1.3358831371,NaN
PABPC4,-0.5244907333,0.7531101414
SNORA55,-0.0362339798,NaN
HEYL,-2.395160582,0.0756061656
NT5C1A,NaN,NaN
HPCAL4,-0.892642765,NaN
PPIE,-1.5721569954,NaN
BMP8B,-0.6193339576,NaN
OXCT2,-0.2688318734,NaN
TRIT1,-3.1641976718,0.0182790391
MYCL1,-1.1288571748,NaN
MFSD2A,-1.1401117633,0.3957239104
CAP1,1.1324481547,0.1403905539
PPT1,0.4277302217,0.7043804586
RLF,-1.7207273596,0.1862432372
TMCO2,-0.1490566753,NaN
ZMPSTE24,0.5535053298,0.719925579
COL9A2,2.4831340886,0.0249473325
SMAP2,2.3257050139,0.0118557668
ZFP69B,-0.5897064527,NaN
ZFP69,-1.3988350074,NaN
EXO5,0.3052220954,0.8475940778
ZNF684,0.4830541052,NaN
RIMS3,-2.6197043229,0.0586637164
LOC100130557,-0.7847480606,NaN
NFYC,-0.9269396104,0.4408961145
MIR30E,NaN,NaN
MIR30C1,NaN,NaN
KCNQ4,-1.7493391261,NaN
CITED4,0.336696785,0.8398967495
CTPS1,-3.4341231353,0.0050620478
SLFNL1-AS1,-0.7168340667,NaN
SLFNL1,-0.3735310702,NaN
SCMH1,-1.1404045512,0.3268994582
EDN2,-0.7385973287,NaN
HIVEP3,0.6100870899,0.6496102777
GUCA2B,NaN,NaN
GUCA2A,-0.0679534862,NaN
FOXJ3,-1.4851857219,0.197582772
RIMKLA,0.2475841553,0.8829474614
ZMYND12,2.4724749509,0.057733544
PPCS,-1.0563809833,0.424156813
CCDC30,-0.8668423189,NaN
PPIH,-2.145774872,0.088930282
YBX1,-1.1849632967,0.1272712103
CLDN19,-0.0871423128,NaN
LEPRE1,-2.9521759384,0.0128479239
C1orf50,0.506648014,0.7226553325
LOC100129924,-0.0635296015,NaN
CCDC23,-0.0163016719,0.9939576323
ERMAP,-2.4479658152,0.0751915907
ZNF691,-2.2474507813,NaN
SLC2A1,-1.3770822243,0.3359793195
SLC2A1-AS1,-0.4726838218,NaN
FAM183A,1.9190816252,NaN
EBNA1BP2,-2.858768119,NaN
WDR65,-0.6428446469,NaN
TMEM125,-3.1789913601,0.0175576729
C1orf210,0.6104197403,NaN
